1000:0000 entry size=355 ncallers=0 | TO_BE_USED_FOR_WHATEVER_YOU
1000:0163 FUN_1000_0163 size=19 ncallers=1 | 
1000:0176 FUN_1000_0176 size=40 ncallers=1 | 
1000:019e FUN_1000_019e size=18 ncallers=1 | 
1000:01b0 FUN_1000_01b0 size=67 ncallers=1 | 
1000:01f3 FUN_1000_01f3 size=45 ncallers=1 | 
1000:0220 FUN_1000_0220 size=68 ncallers=2 | 
1000:0264 FUN_1000_0264 size=65 ncallers=2 | 
1000:02a5 FUN_1000_02a5 size=8 ncallers=2 | 
1000:02ad FUN_1000_02ad size=63 ncallers=2 | 
1000:051c FUN_1000_051c size=4 ncallers=1 | 
1000:0520 FUN_1000_0520 size=154 ncallers=1 | A_GROUP_OF_MISSLES_SPRING ; AND_ELECTRICITY_FLOWS
1000:05ba FUN_1000_05ba size=33 ncallers=1 | 
1000:05db FUN_1000_05db size=399 ncallers=1 | ADungeons_of_the_Unforgiven ; 1__TAKE_THE_ARMOR
1000:076a FUN_1000_076a size=5 ncallers=0 | 
1000:076f FUN_1000_076f size=43 ncallers=2 | 
1000:079a FUN_1000_079a size=734 ncallers=0 | 
1000:0a78 FUN_1000_0a78 size=8 ncallers=0 | 
1000:0a80 FUN_1000_0a80 size=118 ncallers=0 | 
1000:0af6 FUN_1000_0af6 size=5 ncallers=0 | 
1000:0afb FUN_1000_0afb size=52 ncallers=1 | 
1000:0d04 FUN_1000_0d04 size=164 ncallers=0 | Floating_point_error___s_
1000:0daa FUN_1000_0daa size=201 ncallers=1 | 
1000:0e73 FUN_1000_0e73 size=11 ncallers=1 | 
1000:0e7e FUN_1000_0e7e size=38 ncallers=1 | 
1000:0ea4 FUN_1000_0ea4 size=26 ncallers=2 | 
1000:0ebe FUN_1000_0ebe size=106 ncallers=0 | BOLTS_FORWARD__BURNING
1000:0f28 pow size=363 ncallers=4 | 
1000:10b1 FUN_1000_10b1 size=144 ncallers=2 | _s___s_error
1000:1141 FUN_1000_1141 size=26 ncallers=2 | 
1000:115b ftol size=44 ncallers=12 | 
1000:1187 FUN_1000_1187 size=45 ncallers=0 | 
1000:11b4 FUN_1000_11b4 size=73 ncallers=6 | 
1000:11fd FUN_1000_11fd size=169 ncallers=1 | 
1000:12a6 FUN_1000_12a6 size=253 ncallers=1 | 
1000:13a3 FUN_1000_13a3 size=29 ncallers=1 | 
1000:13c0 FUN_1000_13c0 size=27 ncallers=0 | 
1000:13db FUN_1000_13db size=51 ncallers=1 | 
1000:140e FUN_1000_140e size=45 ncallers=0 | 
1000:143b FUN_1000_143b size=19 ncallers=1 | 
1000:144e FUN_1000_144e size=23 ncallers=0 | 
1000:1465 FUN_1000_1465 size=1 ncallers=2 | 
1000:1466 FUN_1000_1466 size=87 ncallers=2 | 
1000:14bd exit size=15 ncallers=8 | 
1000:14cc FUN_1000_14cc size=18 ncallers=1 | 
1000:14f8 N_LXMUL size=23 ncallers=67 | 
1000:150f FUN_1000_150f size=19 ncallers=1 | 
1000:1522 FUN_1000_1522 size=19 ncallers=1 | 
1000:1535 FUN_1000_1535 size=15 ncallers=1 | 
1000:1544 FUN_1000_1544 size=17 ncallers=0 | 
1000:1555 FUN_1000_1555 size=3 ncallers=1 | 
1000:1558 N_LDIV size=4 ncallers=71 | 
